PLAYER,POS,TEAM,GAME,FP,DK,FD,PROJ,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP
Gary Trent Jr.,SG,MIL,ATL@MIL,20,22.9,21.8,1,13.8,29,4.8,10.7,1.6,2.6,2.3,0.3,0.1,1.2,0.8,1.4,0.85,0.45
Jabari Smith,PF,HOU,HOU@PHO,19.6,23.1,21.2,1,11.3,30,4,9.5,1.1,5.9,4.5,1.4,0.6,0.5,0.8,1.8,0.8,0.42
Adem Bona,C,PHI,TOR@PHI,19.6,24.8,24.6,1,9,25,3.7,5.2,0.9,7.7,5.3,2.4,1.8,0.9,1.8,1.6,0.7,0.71
Toumani Camara,PF,POR,POR@NY,19.5,23,22.2,1,9.9,32,3.6,8,2.1,4.9,3.3,1.5,0.6,1.2,1.3,1.1,0.71,0.45
Nick Richards,C,PHO,HOU@PHO,19.4,23.2,21.6,1,9.9,25,3.9,5.9,0.9,7.6,5.7,1.9,1.2,0.2,1.3,2.1,0.74,0.66
Dillon Brooks,SF,HOU,HOU@PHO,19,21.3,20,1,12.6,31,4.6,11.4,1.7,3,2.2,0.7,0.2,0.7,0.9,1.4,0.81,0.4
Orlando Robinson,C,TOR,TOR@PHI,18.8,21.9,20.1,1,8,20,3.1,6.7,2.1,7.1,4.6,2.4,0.6,0.6,1.7,1.4,0.77,0.46
Mitchell Robinson,C,NY,POR@NY,18.6,22.9,22.6,1,7.9,23,3.5,4.9,0.9,7.5,4,3.5,1.2,1,0.8,1,0.49,0.71
Ochai Agbaji,SG,TOR,TOR@PHI,18.5,21.5,20.5,1,10.5,28,4.1,8.5,1.7,4.4,3.3,1.1,0.5,0.9,1.2,0.8,0.73,0.48
Nick Smith Jr,SG,CHA,CHA@NO,18.4,20.3,18.1,1,12.1,22,4.6,12.1,2.8,2.2,1.9,0.3,0.1,0.5,2.2,0.8,0.92,0.38
Ausar Thompson,SG,DET,DET@MIN,18.3,21.7,21.9,1,8.9,25,3.8,7.5,2.1,4.6,3.2,1.5,0.8,1.5,1.6,1.2,0.63,0.51
Zaccharie Risacher,SF,ATL,ATL@MIL,18.3,21.3,19.9,1,12.1,26,4.6,10.6,1.2,4,2.9,1.2,0.4,0.7,1.2,1.4,0.71,0.43
Julian Champagnie,SG,SA,GS@SA,17.7,20.7,19.4,1,10.3,24,3.5,8,1.6,3.9,3.2,0.7,0.5,0.8,1,1.1,0.89,0.44
Taurean Waller-Prince,SF,MIL,ATL@MIL,17.4,20.2,18.9,1,9.2,29,3.3,7.2,2.2,3.9,3.4,0.4,0.3,1,1.3,0.6,0.81,0.46
Malik Beasley,SG,DET,DET@MIN,17.1,19.8,18.2,1,11.9,27,4.2,10,1.4,2.4,2.1,0.4,0.1,0.8,1,0.7,0.7,0.42
Jamison Battle,SF,TOR,TOR@PHI,17,19.9,17.9,1,10.1,26,3.6,8.3,1.2,4.5,3.6,0.9,0.3,0.4,0.6,0.5,0.91,0.43
Lonnie Walker IV,SG,PHI,TOR@PHI,16.9,19.6,18.5,1,11.2,21,4,9.8,1.6,2.5,2.3,0.2,0.3,0.9,1.2,1.2,0.81,0.41
Ryan Dunn,SF,PHO,HOU@PHO,16.8,20.2,19.5,1,9.3,26,3.7,8.7,1,4.6,3.3,1.3,0.8,0.8,0.7,0.3,0.41,0.42
Tyus Jones,PG,PHO,HOU@PHO,16.8,17.1,16.2,1,7.3,20,2.7,5.9,3.8,1.8,1.5,0.3,0.1,0.6,0.7,0.5,0.86,0.46
Precious Achiuwa,PF,NY,POR@NY,16.8,19.5,18.4,1,8.2,20,3.4,7,1.3,5.8,4,1.8,0.5,0.6,1,1,0.63,0.49
Georges Niang,SF,ATL,ATL@MIL,16.8,19.4,17.5,1,10.1,26,3.6,8.8,1.4,4.1,3.4,0.7,0.2,0.5,1,0.8,0.81,0.41
Elfrid Payton,PG,NO,CHA@NO,16.7,17.7,17.2,1,4.5,16,2.2,6.4,5.2,2.9,2.4,0.5,0.4,1.1,2.6,0.2,0.34,0.34
Harrison Barnes,PF,SA,GS@SA,16.7,18.6,17.2,1,10.7,23,3.6,7.1,1.5,3.1,2.4,0.7,0.2,0.4,0.7,1.9,0.81,0.51
Jalen Hood-Schifino,PG,PHI,TOR@PHI,16.7,18.9,18.1,1,9.5,26,3.2,9.6,2.6,2.3,2,0.3,0.6,0.7,1.8,1.7,0.74,0.33
Jeremiah Robinson-Earl,PF,NO,CHA@NO,16.5,19.3,18,1,8.7,18,3.2,6.8,1.4,4.8,3.5,1.2,0.2,0.9,1,1,0.8,0.47
Tim Hardaway,SG,DET,DET@MIN,15.7,17.5,16.1,1,10.3,27,3.5,8.7,1.5,2.4,2.2,0.2,0.1,0.5,0.7,1.3,0.82,0.4
Jonathan Mogbo,PF,TOR,TOR@PHI,15.5,18.2,17.6,1,5.9,19,2.3,5,1.9,5.4,3.4,1.9,0.5,1,1.1,1,0.73,0.46
